BPBL,30-Jun-13,30,5,6,-7.42,11.37,3.52,0.14,2.23,0.31,1.93,0,0,0,1230,2013
JOPP,30-Jun-13,54.5,10,5,-5.07,404.12,103.18,5.45,-6.97,1.26,-8.23,0,0,0,1107,2013
SFTM,30-Jun-13,23,10,2,-3.74,14.33,0,0.01,0.39,0.37,0.02,0,0,0,85,2013
UCAPM,30-Jun-13,136.4,10,13,-0.96,3.65,1.09,0,-0.59,0.01,-0.6,0,0,0,4975,2013
NMFL,30-Jun-13,30,10,3,-0.41,0.41,0,0,-0.18,0,-0.18,0,0,0,0,2013
HMICL,31-Dec-13,5,10,0,0.09,2.82,0.35,0,0.24,0,0.24,0,0,0,352,2013
LIBT,30-Jun-13,40,10,4,0.25,6.24,0,0,2.33,0,2.33,0,0,0,388,2013
CECL,30-Jun-13,33.12,10,3,0.69,797.1,92.52,1.67,-62.47,0.46,-62.93,0,0,0,771,2013
MERIT,30-Jun-13,47.43,10,4,1.26,1280.63,1389.26,98.12,-85.26,3.17,-88.43,0,0,0,654,2013
SANE,30-Jun-13,44.67,10,4,2.18,1254.1,1284.22,66.84,-10.09,4.54,-14.63,0,0,0,682,2013
HADC,30-Jun-13,32,5,6,3.08,9,0,0,-8.94,0.81,-9.74,0,0,0,1758,2013
HAEL,30-Jun-13,68.04,10,6,5.04,289.36,285.53,16.23,-23.19,2.83,-26.02,0,0,0,657,2013
ISHT,30-Sep-13,42.5,10,4,6.01,529.35,693.52,13.85,33.31,-4.98,38.29,0,0,0,1037,2013
BUXL,30-Jun-13,14.4,10,1,6.43,98.26,142.25,6.01,0.84,0.71,0.13,0,0,0,598,2013
GOEM,30-Jun-13,46.62,10,4,8.61,283.68,776.4,10.75,4.99,4.69,0.3,0,0,0,165,2013
DAAG,30-Jun-13,40,10,4,13.91,125.21,55.84,0.63,-13.47,1.91,-15.38,0,0,0,3298,2013
AMTEX,30-Jun-13,2594.3,10,259,17.8,15481.22,2485.36,913.97,-2315.75,6.31,-2322.06,0,0,0,2188,2013
EMCO,30-Jun-13,350,10,35,17.9,2252.37,1555.81,108.16,-39.14,-5.2,-33.94,0,0,0,794,2013
KOHS,30-Sep-13,109.1,10,10,21.03,2951.42,1143.76,45.13,434.8,138.96,295.84,0,0,0,1036,2013
SGML,30-Sep-13,695.24,10,69,21.11,8810.99,13507.23,438.13,329.36,62.35,267.01,0,0,0,1666,2013
GLIN,30-Jun-13,3,10,0,22.01,244.46,471.98,0.04,-2.47,-3.2,0.74,20,0,20,78,2013
LEUL,30-Jun-13,60,10,6,22.25,53.82,24.09,0.9,-1.82,0.26,-2.08,0,0,0,2090,2013
TSBL,30-Jun-13,100,10,10,28.8,52.15,2.35,0.01,-14.37,-0.94,-13.43,0,0,0,965,2013
GFIL,30-Jun-13,326.36,10,32,29.82,2946.35,5381.51,138.96,56.91,1.23,55.68,0,0,0,5124,2013
